,area,build_year,price,number_of_rooms,level,price_average
126,160.0,1996.2546383436409,290000.0,5.0,5,193431.84020618556
127,125.0,2008.0,205000.0,4.0,3,193431.84020618556
128,196.0,2017.0,668900.0,5.0,1,193431.84020618556
129,105.0,1996.2546383436409,170000.0,3.0,3,193431.84020618556
130,80.0,1996.2546383436409,200000.0,4.0,3,193431.84020618556
131,89.0,1996.2546383436409,195000.0,3.0,7,193431.84020618556
132,107.0,1996.2546383436409,199000.0,4.0,0,193431.84020618556
133,64.0,1996.2546383436409,185000.0,2.0,2,193431.84020618556
134,66.0,1996.2546383436409,250000.0,2.0,0,193431.84020618556
135,104.0,1996.2546383436409,275000.0,4.0,4,193431.84020618556
136,88.0,1996.2546383436409,240000.0,3.0,1,193431.84020618556
137,115.0,1996.2546383436409,320000.0,2.8452239216045427,1,193431.84020618556
138,173.0,1975.0,320000.0,5.0,5,193431.84020618556
139,88.0,2003.0,204000.0,4.0,3,193431.84020618556
140,71.0,1996.2546383436409,135000.0,3.0,3,193431.84020618556
141,71.0,1996.2546383436409,135000.0,3.0,3,193431.84020618556
142,66.0,1996.2546383436409,212100.0,2.0,2,193431.84020618556
143,109.0,1939.0,349900.0,4.0,3,193431.84020618556
144,130.0,1996.2546383436409,329900.0,4.0,4,193431.84020618556
145,84.0,1996.2546383436409,220000.0,4.0,3,193431.84020618556
146,41.0,1996.2546383436409,130000.0,2.0,2,193431.84020618556
147,62.0,1996.2546383436409,159900.0,2.0,2,193431.84020618556
148,155.0,1996.2546383436409,545000.0,4.0,4,193431.84020618556
149,120.0,1996.2546383436409,290000.0,4.0,3,193431.84020618556
150,86.0,1996.2546383436409,280000.0,3.0,2,193431.84020618556
151,92.0,1937.0,228000.0,4.0,3,193431.84020618556
152,42.0,1996.2546383436409,105000.0,2.0,1,193431.84020618556
153,98.28,1996.2546383436409,294800.0,4.0,6,193431.84020618556
154,82.4,1996.2546383436409,247200.0,3.0,1,193431.84020618556
